,NORMAL(mm),ACTUAL(mm),date
186,71.67,64.6,1979-07-01
187,90.91,71.89,1979-08-01
188,111.67,183.46,1979-09-01
189,182.17,134.98,1979-10-01
190,170.62,429.29,1979-11-01
191,88.52,58.6,1979-12-01
192,21.97,0.15,1980-01-01
193,14.81,0.0,1980-02-01
194,19.93,11.08,1980-03-01
195,42.91,44.97,1980-04-01
196,64.66,60.58,1980-05-01
197,42.1,26.85,1980-06-01
198,71.67,55.27,1980-07-01
199,90.91,60.67,1980-08-01
200,111.67,76.19,1980-09-01
201,182.17,120.45,1980-10-01
202,170.62,176.8,1980-11-01
203,88.52,52.49,1980-12-01
204,21.97,11.25,1981-01-01
205,14.81,1.2,1981-02-01
206,19.93,17.43,1981-03-01
207,42.91,19.42,1981-04-01
208,64.66,85.94,1981-05-01
209,42.1,41.56,1981-06-01
210,71.67,116.35,1981-07-01
211,90.91,87.97,1981-08-01
212,111.67,195.31,1981-09-01
213,182.17,269.94,1981-10-01
214,170.62,112.54,1981-11-01
215,88.52,80.91,1981-12-01
216,21.97,0.2,1982-01-01
217,14.81,0.03,1982-02-01
218,19.93,8.28,1982-03-01
219,42.91,21.68,1982-04-01
220,64.66,53.13,1982-05-01
221,42.1,42.0,1982-06-01
222,71.67,44.61,1982-07-01
223,90.91,41.15,1982-08-01
224,111.67,89.31,1982-09-01
225,182.17,110.83,1982-10-01
226,170.62,211.4,1982-11-01
227,88.52,35.49,1982-12-01
228,21.97,0.21,1983-01-01
229,14.81,0.14,1983-02-01
230,19.93,1.44,1983-03-01
231,42.91,3.83,1983-04-01
232,64.66,77.83,1983-05-01
233,42.1,63.39,1983-06-01
234,71.67,71.38,1983-07-01
235,90.91,129.15,1983-08-01
236,111.67,152.84,1983-09-01
237,182.17,144.59,1983-10-01
238,170.62,100.18,1983-11-01
239,88.52,275.13,1983-12-01
240,21.97,36.87,1984-01-01
241,14.81,145.59,1984-02-01
242,19.93,99.33,1984-03-01
243,42.91,44.24,1984-04-01
244,64.66,16.7,1984-05-01
245,42.1,32.79,1984-06-01
246,71.67,147.57,1984-07-01
247,90.91,36.45,1984-08-01
248,111.67,152.78,1984-09-01
249,182.17,126.18,1984-10-01
250,170.62,132.15,1984-11-01
251,88.52,61.94,1984-12-01
252,21.97,94.33,1985-01-01
253,14.81,5.96,1985-02-01
254,19.93,9.56,1985-03-01
255,42.91,27.72,1985-04-01
256,64.66,26.34,1985-05-01
257,42.1,89.74,1985-06-01
258,71.67,76.46,1985-07-01
259,90.91,125.1,1985-08-01
260,111.67,154.9,1985-09-01
261,182.17,105.56,1985-10-01
262,170.62,253.27,1985-11-01
263,88.52,56.86,1985-12-01
264,21.97,69.67,1986-01-01
265,14.81,31.05,1986-02-01
266,19.93,17.23,1986-03-01
267,42.91,14.89,1986-04-01
268,64.66,59.37,1986-05-01
269,42.1,39.27,1986-06-01
270,71.67,52.72,1986-07-01
271,90.91,91.61,1986-08-01
272,111.67,124.81,1986-09-01
273,182.17,161.2,1986-10-01
274,170.62,131.84,1986-11-01
275,88.52,66.6,1986-12-01
276,21.97,9.36,1987-01-01
277,14.81,1.03,1987-02-01
278,19.93,26.12,1987-03-01
279,42.91,18.73,1987-04-01
280,64.66,38.19,1987-05-01
281,42.1,64.21,1987-06-01
282,71.67,25.55,1987-07-01
283,90.91,91.55,1987-08-01
284,111.67,122.61,1987-09-01
285,182.17,248.51,1987-10-01
286,170.62,138.47,1987-11-01
287,88.52,180.19,1987-12-01
288,21.97,0.4,1988-01-01
289,14.81,4.09,1988-02-01
290,19.93,27.01,1988-03-01
291,42.91,90.97,1988-04-01
292,64.66,51.15,1988-05-01
293,42.1,37.09,1988-06-01
294,71.67,95.99,1988-07-01
295,90.91,152.97,1988-08-01
296,111.67,128.94,1988-09-01
297,182.17,70.52,1988-10-01
298,170.62,137.82,1988-11-01
299,88.52,34.56,1988-12-01
300,21.97,2.94,1989-01-01
301,14.81,0.01,1989-02-01
302,19.93,24.01,1989-03-01
303,42.91,35.76,1989-04-01
304,64.66,49.37,1989-05-01
305,42.1,56.65,1989-06-01
306,71.67,154.21,1989-07-01
307,90.91,39.23,1989-08-01
308,111.67,134.82,1989-09-01
309,182.17,149.29,1989-10-01
310,170.62,172.07,1989-11-01
311,88.52,45.19,1989-12-01
312,21.97,89.1,1990-01-01
313,14.81,13.0,1990-02-01
314,19.93,46.59,1990-03-01
315,42.91,21.01,1990-04-01
316,64.66,94.53,1990-05-01
317,42.1,26.38,1990-06-01
318,71.67,37.94,1990-07-01
319,90.91,82.55,1990-08-01
320,111.67,130.8,1990-09-01
321,182.17,207.12,1990-10-01
322,170.62,145.72,1990-11-01
323,88.52,48.7,1990-12-01
324,21.97,27.36,1991-01-01
325,14.81,5.05,1991-02-01
326,19.93,8.83,1991-03-01
327,42.91,33.78,1991-04-01
328,64.66,23.71,1991-05-01
329,42.1,121.06,1991-06-01
330,71.67,45.59,1991-07-01
331,90.91,69.69,1991-08-01
332,111.67,115.29,1991-09-01
333,182.17,234.71,1991-10-01
334,170.62,262.55,1991-11-01
335,88.52,24.88,1991-12-01
336,21.97,3.4,1992-01-01
337,14.81,0.21,1992-02-01
338,19.93,0.0,1992-03-01
339,42.91,20.63,1992-04-01
340,64.66,53.18,1992-05-01
341,42.1,53.44,1992-06-01
342,71.67,68.29,1992-07-01
343,90.91,54.83,1992-08-01
344,111.67,150.56,1992-09-01
345,182.17,129.8,1992-10-01
346,170.62,305.69,1992-11-01
347,88.52,59.12,1992-12-01
348,21.97,0.14,1993-01-01
349,14.81,5.48,1993-02-01
350,19.93,7.98,1993-03-01
351,42.91,8.96,1993-04-01
352,64.66,42.01,1993-05-01
353,42.1,67.48,1993-06-01
354,71.67,58.96,1993-07-01
355,90.91,93.77,1993-08-01
356,111.67,102.31,1993-09-01
357,182.17,217.22,1993-10-01
358,170.62,340.8,1993-11-01
359,88.52,187.82,1993-12-01
360,21.97,6.36,1994-01-01
361,14.81,30.16,1994-02-01
362,19.93,4.65,1994-03-01
363,42.91,42.69,1994-04-01
364,64.66,64.96,1994-05-01
365,42.1,28.31,1994-06-01
366,71.67,65.13,1994-07-01
367,90.91,65.63,1994-08-01
368,111.67,75.87,1994-09-01
369,182.17,222.66,1994-10-01
370,170.62,252.65,1994-11-01
371,88.52,34.58,1994-12-01
372,21.97,35.85,1995-01-01
373,14.81,3.73,1995-02-01
374,19.93,16.76,1995-03-01
375,42.91,33.73,1995-04-01
376,64.66,145.58,1995-05-01
377,42.1,60.21,1995-06-01
378,71.67,83.26,1995-07-01
379,90.91,116.23,1995-08-01
380,111.67,96.95,1995-09-01
381,182.17,145.65,1995-10-01
382,170.62,112.38,1995-11-01
383,88.52,4.65,1995-12-01
384,21.97,6.65,1996-01-01
385,14.81,3.32,1996-02-01
386,19.93,4.44,1996-03-01
387,42.91,83.72,1996-04-01
388,64.66,29.95,1996-05-01
389,42.1,130.85,1996-06-01
390,71.67,46.67,1996-07-01
391,90.91,114.24,1996-08-01
392,111.67,147.38,1996-09-01
393,182.17,149.95,1996-10-01
394,170.62,123.53,1996-11-01
395,88.52,270.1,1996-12-01
396,21.97,10.59,1997-01-01
397,14.81,0.07,1997-02-01
398,19.93,3.39,1997-03-01
399,42.91,41.42,1997-04-01
400,64.66,46.08,1997-05-01
401,42.1,47.61,1997-06-01
402,71.67,58.6,1997-07-01
403,90.91,52.74,1997-08-01
404,111.67,114.63,1997-09-01
405,182.17,175.21,1997-10-01
406,170.62,288.66,1997-11-01
407,88.52,159.49,1997-12-01
408,21.97,6.79,1998-01-01
409,14.81,2.53,1998-02-01
410,19.93,2.89,1998-03-01
411,42.91,20.2,1998-04-01
412,64.66,60.47,1998-05-01
413,42.1,37.32,1998-06-01
414,71.67,90.98,1998-07-01
415,90.91,152.71,1998-08-01
416,111.67,123.31,1998-09-01
417,182.17,131.03,1998-10-01
418,170.62,257.94,1998-11-01
419,88.52,217.07,1998-12-01
420,21.97,7.39,1999-01-01
421,14.81,19.32,1999-02-01
422,19.93,4.12,1999-03-01
423,42.91,59.54,1999-04-01
424,64.66,68.12,1999-05-01
425,42.1,42.6,1999-06-01
426,71.67,46.1,1999-07-01
427,90.91,70.43,1999-08-01
428,111.67,71.78,1999-09-01
429,182.17,260.29,1999-10-01
430,170.62,195.55,1999-11-01
431,88.52,59.43,1999-12-01
432,21.97,35.21,2000-01-01
433,14.81,84.12,2000-02-01
434,19.93,8.62,2000-03-01
435,42.91,39.28,2000-04-01
436,64.66,52.62,2000-05-01
437,42.1,48.97,2000-06-01
438,71.67,41.97,2000-07-01
439,90.91,118.7,2000-08-01
440,111.67,165.35,2000-09-01
441,182.17,131.71,2000-10-01
442,170.62,160.98,2000-11-01
443,88.52,99.63,2000-12-01
444,21.97,19.49,2001-01-01
445,14.81,9.49,2001-02-01
446,19.93,11.32,2001-03-01
447,42.91,89.66,2001-04-01
448,64.66,44.85,2001-05-01
449,42.1,36.53,2001-06-01
450,71.67,39.95,2001-07-01
451,90.91,19.31,2001-08-01
452,111.67,56.83,2001-09-01
453,182.17,78.42,2001-10-01
454,170.62,62.1,2001-11-01
455,88.52,32.66,2001-12-01
456,21.97,5.21,2002-01-01
457,14.81,30.95,2002-02-01
458,19.93,3.67,2002-03-01
459,42.91,8.01,2002-04-01
460,64.66,32.2,2002-05-01
